id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown & Concrete,Bassline Kings,hip-hop,confident,0.85,96,0.72,0.91,0.08
12,Nocturne in Blue,Aria Voss,classical,melancholic,0.22,68,0.38,0.24,0.97
13,Dirt Road Sundown,Honey Spoke,country,happy,0.58,104,0.80,0.63,0.82
14,Velvet Signal,Demi Shores,r&b,romantic,0.61,88,0.76,0.71,0.44
15,Iron Curtain,Wrathgate,metal,intense,0.97,168,0.31,0.58,0.04
16,Pulse Protocol,Ultrawave,electronic,euphoric,0.95,140,0.83,0.94,0.03
17,Island Time,Reef Kollective,reggae,relaxed,0.48,76,0.88,0.67,0.73
18,Neon Heartbeat,STARDUO,k-pop,happy,0.89,128,0.90,0.92,0.06
19,Campfire Letter,June Hollow,folk,melancholic,0.31,84,0.45,0.38,0.94
20,Late Night Cipher,Bassline Kings,hip-hop,focused,0.63,92,0.55,0.78,0.15
